Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Value
Slice Thickness,Flex,Ax,task,ACRSliceThickness,,
Slice Thickness,Flex,Ax,file,FLEX_AX_1501_1,,
Slice Thickness,Flex,Ax,measurement,slice width mm,4.84,
Slice Thickness,Flex,Ax,report_image,C:\Users\mliljeroth\Desktop\taunton 1.5T\DICOM\AutoQC_ACR_Output\FLEX_AX\FLEX_AX_1501_1_slice_thickness.png,,
Slice Thickness,Flex,Ax,value,4.84,,
Slice Thickness,Flex,Cor,task,ACRSliceThickness,,
Slice Thickness,Flex,Cor,file,FLEX_COR_1201_1,,
Slice Thickness,Flex,Cor,measurement,slice width mm,4.88,
Slice Thickness,Flex,Cor,report_image,C:\Users\mliljeroth\Desktop\taunton 1.5T\DICOM\AutoQC_ACR_Output\FLEX_COR\FLEX_COR_1201_1_slice_thickness.png,,
Slice Thickness,Flex,Cor,value,4.88,,
Slice Thickness,Flex,Sag,task,ACRSliceThickness,,
Slice Thickness,Flex,Sag,file,FLEX_SAG_1801_1,,
Slice Thickness,Flex,Sag,measurement,slice width mm,4.19,
Slice Thickness,Flex,Sag,report_image,C:\Users\mliljeroth\Desktop\taunton 1.5T\DICOM\AutoQC_ACR_Output\FLEX_SAG\FLEX_SAG_1801_1_slice_thickness.png,,
Slice Thickness,Flex,Sag,value,4.19,,
Slice Thickness,HN,Ax,task,ACRSliceThickness,,
Slice Thickness,HN,Ax,file,HEAD_AX_2101_1,,
Slice Thickness,HN,Ax,measurement,slice width mm,5.15,
Slice Thickness,HN,Ax,report_image,C:\Users\mliljeroth\Desktop\taunton 1.5T\DICOM\AutoQC_ACR_Output\HEAD_AX\HEAD_AX_2101_1_slice_thickness.png,,
Slice Thickness,HN,Ax,value,5.15,,
Slice Thickness,HN,Cor,task,ACRSliceThickness,,
Slice Thickness,HN,Cor,file,HEAD_COR_2401_1,,
Slice Thickness,HN,Cor,measurement,slice width mm,5.01,
Slice Thickness,HN,Cor,report_image,C:\Users\mliljeroth\Desktop\taunton 1.5T\DICOM\AutoQC_ACR_Output\HEAD_COR\HEAD_COR_2401_1_slice_thickness.png,,
Slice Thickness,HN,Cor,value,5.01,,
Slice Thickness,HN,Sag,task,ACRSliceThickness,,
Slice Thickness,HN,Sag,file,HEAD_SAG_2701_1,,
Slice Thickness,HN,Sag,measurement,slice width mm,4.48,
